Project,Package,Class,Method,Smell,Description,Method start line no,File,Status,Reason/Commit
main,com.asdc.unicarpool.service.impl,RideService,getAllActiveRides,Long Statement,"The length of the statement ""boolean reviewed=ratingReviewRepository.findByRideIdAndPassengerId(ride.getId()`getUserByBannerId(bannerId).getId()) != null;"" is 125.",101,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\RideService.java,False Positive,This is a simple boolean check 
main,com.asdc.unicarpool.service.impl,RideService,getStringObjectMap,Long Statement,"The length of the statement ""return Map.of(""riderName""`rider.getName()`""driverName""`ride.getDriver().getName()`""departureLocation""`ride.getDepartureLocation()`""destination""`ride.getDestination()`""departureTime""`ride.getDepartureDateTime()`""newStatus""`newStatus`""appName""`appName);"" is 251.",166,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\RideService.java,True Positive,Commit Hash: d3e006adda3ee13bb09555e42d9c0aa2dd18795c
main,com.asdc.unicarpool.service.impl,UserService,loadUserByUsername,Long Statement,"The length of the statement ""User user=userRepository.findByBannerId(username).orElseThrow(() -> new UsernameNotFoundException(""User not found with banner ID: "" + username));"" is 145.",41,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\UserService.java,False Positive,This is best practice for Optional handling
main,com.asdc.unicarpool.service.impl,UserService,loadUserByUsername,Long Statement,"The length of the statement ""Set<GrantedAuthority> authorities=user.getRoles().stream().map(role -> new SimpleGrantedAuthority(""ROLE_"" + role.name())).collect(Collectors.toSet());"" is 150.",41,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\UserService.java,False Positive,This is stream operation which is clear and consice. This is well written stream operation
main,com.asdc.unicarpool.service.impl,UserService,loadUserByUsername,Long Statement,"The length of the statement ""return org.springframework.security.core.userdetails.User.builder().username(user.getBannerId()).password(user.getPassword()).authorities(authorities).accountExpired(false).accountLocked(false).credentialsExpired(false).disabled(!user.isEmailVerified()).build();"" is 262.",41,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\UserService.java,False Positive,This is standard Implementation of builder pattern which is generally long
main,com.asdc.unicarpool.service.impl,UserService,registerUser,Long Statement,"The length of the statement ""if (userRepository.existsByBannerId(userRequest.getBannerId()) || userRepository.existsByEmail(userRequest.getSchoolEmail())) {"" is 127.",50,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\UserService.java,False Positive,This is long due to long method names in comparision
main,com.asdc.unicarpool.service.impl,UserService,registerUser,Long Statement,"The length of the statement ""User user=User.builder().bannerId(userRequest.getBannerId()).name(userRequest.getFullName()).email(userRequest.getSchoolEmail()).password(passwordEncoder.encode(userRequest.getPassword())).emailVerified(Boolean.FALSE).phoneNumber(userRequest.getPhoneNumber()).roles(Collections.singleton(userRequest.getSelectedRole())).build();"" is 328.",50,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\UserService.java,False Positive,This is standard Implementation of builder pattern which is generally long
main,com.asdc.unicarpool.service.impl,VerificationService,sendVerificationCode,Long Statement,"The length of the statement ""Optional<VerificationCode> verificationCode=verificationCodeRepository.findByUserIdAndStatusAndType(user`AppConstant.VerificationStatus.ACTIVE.name()`type.name());"" is 163.",39,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\VerificationService.java,False Positive,This is a standard repository query with multiple parameters.
main,com.asdc.unicarpool.service.impl,VerificationService,sendVerificationCode,Long Statement,"The length of the statement ""Instant expiryTime=Instant.now().plusSeconds(AppConstant.VERIFICATION_CODE_EXPIRY_MINS * AppConstant.SECONDS_PER_MINUTE);"" is 121.",39,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\VerificationService.java,False Positive,This is a simple time calculation.
main,com.asdc.unicarpool.service.impl,VerificationService,sendVerificationCode,Long Statement,"The length of the statement ""VerificationCode newVerificationCode=VerificationCode.builder().code(code).userId(user).expireAt(expiryTime).type(type.name()).build();"" is 135.",39,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\VerificationService.java,False Positive,This is standard Implementation of builder pattern which is generally long
main,com.asdc.unicarpool.service.impl,VerificationService,sendVerificationCode,Long Statement,"The length of the statement ""String template=type == AppConstant.VerificationType.EMAIL ? AppConstant.EMAIL_TEMPLATE_VERIFICATION : AppConstant.EMAIL_TEMPLATE_FORGET_PASSWORD;"" is 146.",39,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\VerificationService.java,False Positive,This is standard usage of tenary operation.
main,com.asdc.unicarpool.service.impl,VerificationService,sendVerificationCode,Long Statement,"The length of the statement ""String subject=type == AppConstant.VerificationType.EMAIL ? AppConstant.EMAIL_SUBJECT_VERIFICATION : AppConstant.EMAIL_SUBJECT_FORGET_PASSWORD;"" is 143.",39,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\VerificationService.java,False Positive,This is standard usage of tenary operation.
main,com.asdc.unicarpool.service.impl,VerificationService,verifyCode,Long Statement,"The length of the statement ""VerificationCode verificationCode=verificationCodeRepository.findByUserIdAndStatusAndType(user`AppConstant.VerificationStatus.ACTIVE.name()`type.name()).orElseThrow(() -> new InvalidArgumentException(""Invalid Verification Code""));"" is 230.",77,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\service\impl\VerificationService.java,False Positive,This is best practice for Optional handling
main,com.asdc.unicarpool.util.TokenUtil,JwtUtil,createToken,Long Statement,"The length of the statement ""return Jwts.builder().claims(claims).subject(subject).issuedAt(now).expiration(expiryDate).signWith(getSigningKey()).compact();"" is 127.",30,D:\Personal\group04\unicarpool-backend\src\main\java\com\asdc\unicarpool\util\TokenUtil\JwtUtil.java,False Positive,This is a  API builder pattern for JWT creation.
